Name,Vertical,Subcategory,Category,Theme,Brand,Price,QTY,Asset Value
""
Customer Req=>
budget:,20000
persona:,Young Couple
room_type:,Master Bedroom
room_area:,225
brand_preference:,"['Wayfair', 'West Elm', 'Crate And Barrel', 'Pottery Barn']"
theme_preference:,"['Hollywood Regency', 'COASTAL CASUAL']"
user_mandatory_assets:,[]
user_retained_assets:,[]
""
SET 1
Annaelle Quilted Cotton Throw,throws,throws,Furnishing,Bohemian,Wayfair,33.99,1.0,1.726190476190476
Chicago Parsons Chair Dark Gray Fabric,Accent Chairs,Chairs,Furniture,Hollywood Regency,Wayfair,149.99,8.0,3.3333333333333335
Philipston 2 Drawer NightstandBarn Blue,Bedside Tables,Tables,Furniture,COASTAL CASUAL,Wayfair,132.99,8.0,4
LOMBARD MIRROR,Wall Mirrors,Mirrors,Decor,Hollywood Regency,Restoration Hardware,2195,1.0,2.9166666666666665
8X10 CAST RIBBED METAL FRAME,single photo frames,Picture Frames,Wall Art,Hollywood Regency,Restoration Hardware,109,4.0,2.0595238095238093
Oversized Seagrass Basket,Woven Baskets,Baskets,Decor,Scandinavian,West Elm,129,1.0,1.726190476190476
Acrylic Painting Print,still life art panels,art panels,Wall Art,Scandinavian,Joss And Main,108.99,1.0,1.75
Keenum 4 Door Cabinet,Showcase Units,Display Units,Furniture,Hollywood Regency,Wayfair,829.99,2.0,2.9761904761904763
The Frankfurt Deer Head,ANIMAL FIGURINES,Curios and showpieces,Decor,Hollywood Regency,Wayfair,101.33,1.0,2.392857142857143
AQUITAINE SCONCE,Hanging Lights,Lights,Lighting,Hollywood Regency,Restoration Hardware,419,2.0,2.9166666666666665
Malone Campaign 6Drawer Dresser  Walnut,Chest of Drawers,Drawers,Furniture,Hollywood Regency,West Elm,1299,1.0,2.75
Alexa Bed  Black,Queen Sized Beds,Beds,Furniture,Hollywood Regency,West Elm,1200,1.0,4
Alexus Floral Pot Planter,planters,pots & planters,Decor,COASTAL CASUAL,Wayfair,31.99,1.0,2.392857142857143
Sailboats at Sunrise Print,landscape paintings,paintings,Wall Art,COASTAL CASUAL,Joss And Main,90.99,4.0,2.0595238095238093
Parisian Bottle Glass Table Vase,Vases,Vases,Decor,COASTAL CASUAL,Wayfair,70.21,1.0,2.392857142857143
Roanoke Table Lamp,Table Lamps,Lamps,Lighting,COASTAL CASUAL,Wayfair,94.99,2.0,2.75
Chesterbrook Electric Fireplace,Fireplaces,Room Heaters,Appliances,COASTAL CASUAL,Joss And Main,639.99,1.0,2.0595238095238093
Sudie Anchor Embroidered,Pillows,Cushions,Furnishing,COASTAL CASUAL,Wayfair,59.99,4.0,2.392857142857143
Decorative Wood Ship Wheel,metal wall art,wall accents,Wall Art,COASTAL CASUAL,Wayfair,52.87,1.0,2.392857142857143
Cotton Satin Queen Size Bed Sheet,Double Bedsheets,Bedsheets,Furnishing,Indian Contemporary,Pepperfry,27.986,1.0,2.25
Heading North,landscape posters,posters,Wall Art,Modern,Pottery Barn,0.8260000000000001,1.0,2.083333333333333
Solid Blackout Curtain Panel,Door Curtains,Curtains,Furnishing,Modern,Wayfair,816,7.0,3.1666666666666665
MGN Analog,wall clocks,clocks,Decor,Modern,Flipkart,9.786,1.0,1.3928571428571428
Massaoud PinkGreen Area Rug,Cotton Carpets,Carpets & Rugs,Furnishing,Bohemian,Wayfair,122.89,1.0,1.726190476190476
Spacewood Classy Engineered Wood 4 Door Wardrobe,4 Door Wardrobes,Wardrobes,Furniture,Scandinavian,Flipkart,251.98600000000002,1.0,2.8333333333333335
Orient New Air White 600mm Ceiling Fan,Ceiling Fans,Fans,Appliances,Modern,Pepperfry,24.5,1.0,1.3928571428571428
Spacewood Original Engineered Wood Dressing Table,Dressing Tables,Dressers,Furniture,Indian Contemporary,Flipkart,107.086,1.0,3.0
final_val:,165,final_price: ,18111,final_area: ,152,n_assets:,27,total_qty:,59.0
""
SET 2
Deco Tile Pillow Covers,Pillow Covers,Cushions,Furnishing,Indian Contemporary,West Elm,44,4.0,2.083333333333333
Sphere  Stem Pendant,Hanging Lights,Lights,Lighting,TRANSITIONAL,West Elm,139,1.0,2.583333333333333
Luxton Swoop Armchair,Accent Chairs,Chairs,Furniture,Hollywood Regency,Wayfair,141.99,2.0,3.3333333333333335
Philipston 2 Drawer NightstandFrench Gray,Bedside Tables,Tables,Furniture,COASTAL CASUAL,Wayfair,132.99,8.0,4
Coalcliff Drawer Chest,Chest of Drawers,Drawers,Furniture,Indian Contemporary,Wayfair,730,1.0,2.083333333333333
Blanca Wall Decor Antique1,metal wall art,wall accents,Wall Art,RUSTIC,Casaone,8.5,1.0,1.3928571428571428
Pelle Sconce,Wall Lights,Lights,Lighting,Hollywood Regency,West Elm,129,1.0,2.392857142857143
Cara Composite Pot Planter,planters,pots & planters,Decor,COASTAL CASUAL,Wayfair,38.98,1.0,2.392857142857143
Patroclus Maybury French Blue,Table Lamps,Lamps,Lighting,COASTAL CASUAL,Wayfair,119.99,2.0,2.75
August MidBack Desk Chair,Office Chairs,Chairs,Furniture,COASTAL CASUAL,Wayfair,112.99,1.0,2.9761904761904763
Rounding the Mark Painting,still life paintings,paintings,Wall Art,COASTAL CASUAL,Joss And Main,79.99,4.0,2.0595238095238093
Babyletto Lolly White  Natural,Single Beds,Beds,Furniture,Modern,Crate And Barrel,326.24,1.0,2.3095238095238093
Mcnichols Mirror,Wall Mirrors,Mirrors,Decor,CONTEMPORARY,Wayfair,64,1.0,2.583333333333333
HandMade Boxy shelf,Wall Shelves,Display Units,Furniture,Bohemian,Pepperfry,64.386,2.0,2.3333333333333335
Floral Polyester Runner,Runners,Carpets & Rugs,Furnishing,Modern,Pepperfry,36.638,1.0,1.3928571428571428
Green Ceramic Vase,Vases,Vases,Decor,Modern,Pepperfry,9.506,1.0,1.3928571428571428
Hydrangeas in Mason Jars,abstract art panels,art panels,Wall Art,Modern,Joss And Main,86.98,1.0,1.75
Brown Iron Victoria Wall Clock,wall clocks,clocks,Decor,Modern,Pepperfry,34.006,1.0,1.3928571428571428
SMITHMILL,throws,throws,Furnishing,Modern,All Modern,76.99,1.0,1.3928571428571428
The Colorful Violin,music posters,posters,Wall Art,Modern,Pepperfry,14.686,1.0,1.75
Black Synthetic,collage photo frames,Picture Frames,Wall Art,Modern,Pepperfry,27.146,4.0,1.75
Floral Pattern,Single Bedsheets,Bedsheets,Furnishing,Modern,Pepperfry,5.726,1.0,2.25
Panipat Textile Hub Polyester Door Curtain,Door Curtains,Curtains,Furnishing,Modern,Flipkart,11.172,2.0,2.8333333333333335
Spacewood Classy Engineered Wood 4 Door Mirror Wardrobe,4 Door Wardrobes,Wardrobes,Furniture,Scandinavian,Flipkart,278.6,1.0,2.8333333333333335
Metal Medallion Sculpture,showpieces,Curios and showpieces,Decor,Modern,Wayfair,40.99,1.0,1.726190476190476
Kosmo Arena Dressing Table with Stool,Dressing Tables,Dressers,Furniture,Indian Contemporary,Pepperfry,153.986,1.0,3.0
final_val:,115,final_price: ,4630,final_area: ,157,n_assets:,26,total_qty:,46.0
""
SET 3
Brooch Pillow Cover,Pillow Covers,Cushions,Furnishing,Modern,West Elm,49,4.0,2.083333333333333
Sphere  Stem Pendant,Hanging Lights,Lights,Lighting,TRANSITIONAL,West Elm,139,2.0,2.583333333333333
Tate 5Drawer Chest,Chest of Drawers,Drawers,Furniture,Mid Century,Crate And Barrel,1099,1.0,2.083333333333333
1920S ODEON CLEAR GLASS FRINGE SQUARE TABLE LAMP,Table Lamps,Lamps,Lighting,Hollywood Regency,Restoration Hardware,1025,2.0,2.4166666666666665
CELA SHAGREEN PLATFORM BED,Queen Sized Beds,Beds,Furniture,Hollywood Regency,Restoration Hardware,2996,1.0,3.6666666666666665
Cobalt Lg Vase Blue,Vases,Vases,Decor,Modern,Casaone,10,1.0,1.3928571428571428
TREVISO TUFTED DESK CHAIR,Office Chairs,Chairs,Furniture,Hollywood Regency,Restoration Hardware,1195,3.0,3.0
Vintage Motorcycles Canvas,transport art panels,art panels,Wall Art,Industrial,Wayfair,41,1.0,1.726190476190476
Metal Amillary Sculpture,showpieces,Curios and showpieces,Decor,Industrial,Wayfair,30,1.0,1.726190476190476
Malone Campaign Nightstand  Walnut,Bedside Tables,Tables,Furniture,Hollywood Regency,West Elm,320,8.0,4
Quiet Morning Canvas,landscape paintings,paintings,Wall Art,COASTAL CASUAL,Joss And Main,91.99,4.0,2.0595238095238093
Farah Accent Mirror,Wall Mirrors,Mirrors,Decor,Hollywood Regency,Wayfair,261.8,1.0,2.392857142857143
Iris Planter  Chevron Stand,planters,pots & planters,Decor,TRANSITIONAL,West Elm,139,1.0,2.083333333333333
2 Piece Wood Shelf set,Bookshelves,Display Units,Furniture,Bohemian,Joss And Main,142.99,1.0,2.3333333333333335
Kosmo Classic Three Door,3 Door Wardrobes,Wardrobes,Furniture,Indian Contemporary,Pepperfry,335.986,1.0,1.9761904761904763
Pearl Drop Photo Frame,collage photo frames,Picture Frames,Wall Art,Modern,Pepperfry,7.546,4.0,1.75
Whistling Birds Wall,wall plates,wall accents,Wall Art,Modern,Pepperfry,13.986,1.0,1.3928571428571428
Multicolour Matt Paper,psychedelia posters,posters,Wall Art,Modern,Pepperfry,10.528,1.0,1.75
Zain 140 TC,Single Bedsheets,Bedsheets,Furnishing,Modern,Flipkart,3.766,1.0,2.25
Grey Polyester,Blinds & Shades,Curtains,Furnishing,Modern,Pepperfry,35.686,2.0,2.8333333333333335
Wall Mounted Wine Rack,Wall Shelves,Display Units,Furniture,Industrial,Wayfair,37.99,1.0,2.3095238095238093
Massaoud Area Rug,Wool Carpets,Carpets & Rugs,Furnishing,Bohemian,Wayfair,35.49,1.0,2.083333333333333
Yes Celebration Analog Wall Clock,wall clocks,clocks,Decor,Modern,Flipkart,9.24,1.0,1.3928571428571428
