Name,Vertical,Subcategory,Category,Theme,Brand,Price,QTY,Asset Value
Spacewood Original Engineered Wood Dressing Table,Dressing Tables,Dressers,Furniture,Indian Contemporary,Flipkart,107.086,1.0,-2.0
final_val:,108,final_price: ,14412,final_area: ,157,n_assets:,24,total_qty:,45.0
""
SET 4
Annaelle Quilted Cotton Throw,throws,throws,Furnishing,Bohemian,Wayfair,33.99,1.0,1.8261904761904761
Chicago Parsons Chair Dark Gray Fabric,Accent Chairs,Chairs,Furniture,Hollywood Regency,Wayfair,149.99,8.0,5.333333333333334
Philipston 2 Drawer NightstandBarn Blue,Bedside Tables,Tables,Furniture,COASTAL CASUAL,Wayfair,132.99,8.0,6.0
Coalcliff Drawer Chest,Chest of Drawers,Drawers,Furniture,Indian Contemporary,Wayfair,730,6.0,4.083333333333333
LOMBARD MIRROR,Wall Mirrors,Mirrors,Decor,Hollywood Regency,Restoration Hardware,2195,1.0,3.0166666666666666
8X10 CAST RIBBED METAL FRAME,single photo frames,Picture Frames,Wall Art,Hollywood Regency,Restoration Hardware,109,4.0,2.1595238095238094
Oversized Seagrass Basket,Woven Baskets,Baskets,Decor,Scandinavian,West Elm,129,1.0,1.8261904761904761
Acrylic Painting Print,still life art panels,art panels,Wall Art,Scandinavian,Joss And Main,108.99,1.0,1.85
Bainbridge Side Chair,Dining Chairs,Dining,Furniture,Hollywood Regency,Wayfair,7.27972,5.0,4.392857142857142
The Frankfurt Deer Head,ANIMAL FIGURINES,Curios and showpieces,Decor,Hollywood Regency,Wayfair,101.33,1.0,2.492857142857143
AQUITAINE SCONCE,Hanging Lights,Lights,Lighting,Hollywood Regency,Restoration Hardware,419,2.0,3.0166666666666666
Alexus Floral Pot Planter,planters,pots & planters,Decor,COASTAL CASUAL,Wayfair,31.99,1.0,2.492857142857143
Sailboats at Sunrise Print,landscape paintings,paintings,Wall Art,COASTAL CASUAL,Joss And Main,90.99,4.0,2.1595238095238094
Parisian Bottle Glass Table Vase,Vases,Vases,Decor,COASTAL CASUAL,Wayfair,70.21,1.0,2.492857142857143
Roanoke Table Lamp,Table Lamps,Lamps,Lighting,COASTAL CASUAL,Wayfair,94.99,2.0,2.85
Chesterbrook Electric Fireplace,Fireplaces,Room Heaters,Appliances,COASTAL CASUAL,Joss And Main,639.99,1.0,2.1595238095238094
Sudie Anchor Embroidered,Pillows,Cushions,Furnishing,COASTAL CASUAL,Wayfair,59.99,4.0,2.492857142857143
Decorative Wood Ship Wheel,metal wall art,wall accents,Wall Art,COASTAL CASUAL,Wayfair,52.87,1.0,2.492857142857143
Babyletto Lolly White  Natural,Single Beds,Beds,Furniture,Modern,Crate And Barrel,326.24,1.0,4.309523809523809
Cotton Satin Queen Size Bed Sheet,Double Bedsheets,Bedsheets,Furnishing,Indian Contemporary,Pepperfry,27.986,1.0,2.35
HandMade Boxy shelf,Wall Shelves,Display Units,Furniture,Bohemian,Pepperfry,64.386,7.0,4.333333333333334
Heading North,landscape posters,posters,Wall Art,Modern,Pottery Barn,0.8260000000000001,1.0,2.183333333333333
Solid Blackout Curtain Panel,Door Curtains,Curtains,Furnishing,Modern,Wayfair,816,6.0,3.2666666666666666
MGN Analog,wall clocks,clocks,Decor,Modern,Flipkart,9.786,1.0,1.4928571428571429
Massaoud PinkGreen Area Rug,Cotton Carpets,Carpets & Rugs,Furnishing,Bohemian,Wayfair,122.89,1.0,1.8261904761904761
Spacewood Classy Engineered Wood 4 Door Wardrobe,4 Door Wardrobes,Wardrobes,Furniture,Scandinavian,Flipkart,251.98600000000002,3.0,4.833333333333334
Orient New Air White 600mm Ceiling Fan,Ceiling Fans,Fans,Appliances,Modern,Pepperfry,24.5,1.0,1.4928571428571429
Spacewood Original Engineered Wood Dressing Table,Dressing Tables,Dressers,Furniture,Indian Contemporary,Flipkart,107.086,6.0,5.0
final_val:,304,final_price: ,19368,final_area: ,157,n_assets:,28,total_qty:,80.0
""
SET 5
Annaelle Quilted Cotton Throw,throws,throws,Furnishing,Bohemian,Wayfair,33.99,6.0,3.7261904761904763
Chicago Parsons Chair Dark Gray Fabric,Accent Chairs,Chairs,Furniture,Hollywood Regency,Wayfair,149.99,7.0,3.4333333333333336
Philipston 2 Drawer NightstandBarn Blue,Bedside Tables,Tables,Furniture,COASTAL CASUAL,Wayfair,132.99,8.0,4.1
Coalcliff Drawer Chest,Chest of Drawers,Drawers,Furniture,Indian Contemporary,Wayfair,730,1.0,2.183333333333333
LOMBARD MIRROR,Wall Mirrors,Mirrors,Decor,Hollywood Regency,Restoration Hardware,2195,1.0,3.0166666666666666
8X10 CAST RIBBED METAL FRAME,single photo frames,Picture Frames,Wall Art,Hollywood Regency,Restoration Hardware,109,4.0,2.1595238095238094
Oversized Seagrass Basket,Woven Baskets,Baskets,Decor,Scandinavian,West Elm,129,1.0,1.8261904761904761
Acrylic Painting Print,still life art panels,art panels,Wall Art,Scandinavian,Joss And Main,108.99,1.0,1.85
The Frankfurt Deer Head,ANIMAL FIGURINES,Curios and showpieces,Decor,Hollywood Regency,Wayfair,101.33,1.0,2.492857142857143
AQUITAINE SCONCE,Hanging Lights,Lights,Lighting,Hollywood Regency,Restoration Hardware,419,7.0,3.0166666666666666
Alexus Floral Pot Planter,planters,pots & planters,Decor,COASTAL CASUAL,Wayfair,31.99,1.0,2.492857142857143
Sailboats at Sunrise Print,landscape paintings,paintings,Wall Art,COASTAL CASUAL,Joss And Main,90.99,4.0,2.1595238095238094
Parisian Bottle Glass Table Vase,Vases,Vases,Decor,COASTAL CASUAL,Wayfair,70.21,1.0,2.492857142857143
Roanoke Table Lamp,Table Lamps,Lamps,Lighting,COASTAL CASUAL,Wayfair,94.99,2.0,2.85
Chesterbrook Electric Fireplace,Fireplaces,Room Heaters,Appliances,COASTAL CASUAL,Joss And Main,639.99,1.0,2.1595238095238094
Sudie Anchor Embroidered,Pillows,Cushions,Furnishing,COASTAL CASUAL,Wayfair,59.99,9.0,4.392857142857142
Decorative Wood Ship Wheel,metal wall art,wall accents,Wall Art,COASTAL CASUAL,Wayfair,52.87,1.0,2.492857142857143
Babyletto Lolly White  Natural,Single Beds,Beds,Furniture,Modern,Crate And Barrel,326.24,1.0,2.4095238095238094
Cotton Satin Queen Size Bed Sheet,Double Bedsheets,Bedsheets,Furnishing,Indian Contemporary,Pepperfry,27.986,6.0,4.25
HandMade Boxy shelf,Wall Shelves,Display Units,Furniture,Bohemian,Pepperfry,64.386,2.0,2.4333333333333336
Heading North,landscape posters,posters,Wall Art,Modern,Pottery Barn,0.8260000000000001,1.0,2.183333333333333
Solid Blackout Curtain Panel,Door Curtains,Curtains,Furnishing,Modern,Wayfair,816,7.0,5.166666666666666
MGN Analog,wall clocks,clocks,Decor,Modern,Flipkart,9.786,1.0,1.4928571428571429
Massaoud PinkGreen Area Rug,Cotton Carpets,Carpets & Rugs,Furnishing,Bohemian,Wayfair,122.89,6.0,3.7261904761904763
Spacewood Classy Engineered Wood 4 Door Wardrobe,4 Door Wardrobes,Wardrobes,Furniture,Scandinavian,Flipkart,251.98600000000002,1.0,2.9333333333333336
Orient New Air White 600mm Ceiling Fan,Ceiling Fans,Fans,Appliances,Modern,Pepperfry,24.5,1.0,1.4928571428571429
Spacewood Original Engineered Wood Dressing Table,Dressing Tables,Dressers,Furniture,Indian Contemporary,Flipkart,107.086,1.0,3.1
final_val:,286,final_price: ,18306,final_area: ,157,n_assets:,27,total_qty:,83.0
""
SET 6
Annaelle Quilted Cotton Throw,throws,throws,Furnishing,Bohemian,Wayfair,33.99,1.0,1.8261904761904761
Chicago Parsons Chair Dark Gray Fabric,Accent Chairs,Chairs,Furniture,Hollywood Regency,Wayfair,149.99,8.0,3.4333333333333336
Philipston 2 Drawer NightstandBarn Blue,Bedside Tables,Tables,Furniture,COASTAL CASUAL,Wayfair,132.99,8.0,4.1
LOMBARD MIRROR,Wall Mirrors,Mirrors,Decor,Hollywood Regency,Restoration Hardware,2195,2.0,4.916666666666666
8X10 CAST RIBBED METAL FRAME,single photo frames,Picture Frames,Wall Art,Hollywood Regency,Restoration Hardware,109,4.0,2.1595238095238094
Oversized Seagrass Basket,Woven Baskets,Baskets,Decor,Scandinavian,West Elm,129,6.0,3.7261904761904763
Keenum 4 Door Cabinet,Showcase Units,Display Units,Furniture,Hollywood Regency,Wayfair,829.99,1.0,3.0761904761904764
The Frankfurt Deer Head,ANIMAL FIGURINES,Curios and showpieces,Decor,Hollywood Regency,Wayfair,101.33,6.0,4.392857142857142
AQUITAINE SCONCE,Hanging Lights,Lights,Lighting,Hollywood Regency,Restoration Hardware,419,2.0,3.0166666666666666
Malone Campaign 6Drawer Dresser  Walnut,Chest of Drawers,Drawers,Furniture,Hollywood Regency,West Elm,1299,1.0,2.85
Alexus Floral Pot Planter,planters,pots & planters,Decor,COASTAL CASUAL,Wayfair,31.99,6.0,4.392857142857142
Sailboats at Sunrise Print,landscape paintings,paintings,Wall Art,COASTAL CASUAL,Joss And Main,90.99,3.0,2.1595238095238094
Parisian Bottle Glass Table Vase,Vases,Vases,Decor,COASTAL CASUAL,Wayfair,70.21,6.0,4.392857142857142
Roanoke Table Lamp,Table Lamps,Lamps,Lighting,COASTAL CASUAL,Wayfair,94.99,2.0,2.85
Chesterbrook Electric Fireplace,Fireplaces,Room Heaters,Appliances,COASTAL CASUAL,Joss And Main,639.99,1.0,2.1595238095238094
Sudie Anchor Embroidered,Pillows,Cushions,Furnishing,COASTAL CASUAL,Wayfair,59.99,4.0,2.492857142857143
Decorative Wood Ship Wheel,metal wall art,wall accents,Wall Art,COASTAL CASUAL,Wayfair,52.87,1.0,2.492857142857143
Rounding the Mark Painting,still life paintings,paintings,Wall Art,COASTAL CASUAL,Joss And Main,79.99,1.0,2.1595238095238094
Babyletto Lolly White  Natural,Single Beds,Beds,Furniture,Modern,Crate And Barrel,326.24,1.0,2.4095238095238094
Mcnichols Mirror,Wall Mirrors,Mirrors,Decor,CONTEMPORARY,Wayfair,64,4.0,4.583333333333333
Cotton Satin Queen Size Bed Sheet,Double Bedsheets,Bedsheets,Furnishing,Indian Contemporary,Pepperfry,27.986,1.0,2.35
HandMade Boxy shelf,Wall Shelves,Display Units,Furniture,Bohemian,Pepperfry,64.386,1.0,2.4333333333333336
Hydrangeas in Mason Jars,abstract art panels,art panels,Wall Art,Modern,Joss And Main,86.98,1.0,1.85
Heading North,landscape posters,posters,Wall Art,Modern,Pottery Barn,0.8260000000000001,1.0,2.183333333333333
Solid Blackout Curtain Panel,Door Curtains,Curtains,Furnishing,Modern,Wayfair,816,6.0,3.2666666666666666
MGN Analog,wall clocks,clocks,Decor,Modern,Flipkart,9.786,6.0,3.392857142857143
Massaoud PinkGreen Area Rug,Cotton Carpets,Carpets & Rugs,Furnishing,Bohemian,Wayfair,122.89,1.0,1.8261904761904761
Spacewood Classy Engineered Wood 4 Door Wardrobe,4 Door Wardrobes,Wardrobes,Furniture,Scandinavian,Flipkart,251.98600000000002,1.0,2.9333333333333336
Orient New Air White 600mm Ceiling Fan,Ceiling Fans,Fans,Appliances,Modern,Pepperfry,24.5,1.0,1.4928571428571429
Spacewood Original Engineered Wood Dressing Table,Dressing Tables,Dressers,Furniture,Indian Contemporary,Flipkart,107.086,3.0,3.1
final_val:,307,final_price: ,19999,final_area: ,157,n_assets:,30,total_qty:,90.0
